2025-11-04 11:25:52,936 | INFO | Starting the script... 3.2.1...
2025-11-04 11:25:52,937 | INFO | Email configuration connection successful
2025-11-04 11:25:52,937 | INFO | Connected to the database successfully
2025-11-04 11:25:52,937 | ERROR | Failed to get email status from database
2025-11-04 11:25:52,938 | ERROR | Error while composing admin email
2025-11-04 11:25:53,709 | ERROR | Failed to send admin summary
2025-11-04 11:25:53,710 | INFO | Database CONNECTION CLOSED
2025-11-04 11:25:53,710 | INFO | WELDONE!
2025-11-04 11:31:13,945 | INFO | Starting the script... 3.2.1...
2025-11-04 11:31:13,947 | INFO | Email configuration connection successful
2025-11-04 11:31:13,947 | INFO | Connected to the database successfully
2025-11-04 11:31:13,948 | ERROR | Error while composing admin email
2025-11-04 11:31:14,665 | ERROR | Failed to send admin summary
2025-11-04 11:31:14,666 | INFO | Database CONNECTION CLOSED
2025-11-04 11:31:14,666 | INFO | WELDONE!
2025-11-04 12:34:01,312 | INFO | Starting the script... 3.2.1...
2025-11-04 12:34:01,312 | INFO | Email configuration connection successful
2025-11-04 12:34:01,313 | INFO | Connected to the database successfully
2025-11-04 12:34:01,313 | ERROR | Error while composing admin email
2025-11-04 12:34:02,182 | ERROR | Failed to send admin summary:name 'SENDER_ADDRESS' is not defined
2025-11-04 12:34:02,182 | INFO | Database CONNECTION CLOSED
2025-11-04 12:34:02,182 | INFO | WELDONE!
2025-11-04 11:35:52,857 | INFO | Starting the script... 3.2.1...
2025-11-04 11:35:52,858 | INFO | Email configuration connection successful
2025-11-04 11:35:52,859 | INFO | Connected to the database successfully
2025-11-04 11:35:52,859 | INFO | Email message done
2025-11-04 11:35:53,522 | ERROR | Failed to send admin summary:name 'SENDER_ADDRESS' is not defined
2025-11-04 11:35:53,523 | INFO | Database CONNECTION CLOSED
2025-11-04 11:35:53,523 | INFO | WELDONE!
2025-11-04 11:37:08,360 | INFO | Starting the script... 3.2.1...
2025-11-04 11:37:08,361 | INFO | Email configuration connection successful
2025-11-04 11:37:08,362 | INFO | Connected to the database successfully
2025-11-04 11:37:08,362 | INFO | Email message done
2025-11-04 11:37:10,547 | INFO | Mail successfully sent!
2025-11-04 11:37:10,805 | INFO | Database CONNECTION CLOSED
2025-11-04 11:37:10,805 | INFO | WELDONE!
2025-11-05 16:47:22,876 | INFO | Starting the script... 3.2.1...
2025-11-05 16:47:22,878 | INFO | Email configuration connection successful
2025-11-05 16:47:22,878 | INFO | Connected to the database successfully
2025-11-05 16:47:22,878 | INFO | Email message done
2025-11-05 16:47:25,469 | INFO | Mail successfully sent!
2025-11-05 16:47:25,632 | INFO | Database CONNECTION CLOSED
2025-11-05 16:47:25,633 | INFO | WELDONE!
2025-11-07 20:30:39,625 | INFO | Starting the script... 3.2.1...
2025-11-07 20:30:39,626 | INFO | Email configuration connection successful
2025-11-07 20:30:39,627 | INFO | Connected to the database successfully
2025-11-07 20:30:39,627 | INFO | Email message done
2025-11-07 20:30:41,570 | INFO | Mail successfully sent!
2025-11-07 20:30:41,720 | INFO | Database CONNECTION CLOSED
2025-11-07 20:30:41,721 | INFO | WELDONE!
