2025-11-03 15:08:07,759 | ERROR | Missing email configuration in .env file
2025-11-03 15:08:07,761 | ERROR | Database connection failed
2025-11-03 15:08:07,762 | ERROR | No database connection, cannot fetch quote
2025-11-03 15:08:07,762 | WARNING | Skipping user fetch
2025-11-03 15:08:07,762 | WARNING | No quotes or users found
2025-11-03 15:08:07,762 | INFO | Email sent successfully
2025-11-03 15:13:59,794 | INFO | Email Configuration loaded sucessfully
2025-11-03 15:13:59,794 | ERROR | Database connection failed
2025-11-03 15:13:59,794 | ERROR | No database connection, cannot fetch quote
2025-11-03 15:13:59,794 | WARNING | Skipping user fetch
2025-11-03 15:13:59,794 | WARNING | No quotes or users found
2025-11-03 15:13:59,794 | INFO | Email sent successfully
2025-11-03 15:21:16,060 | INFO | Email Configuration loaded sucessfully
2025-11-03 15:21:16,060 | ERROR | Database connection failed
2025-11-03 15:21:16,060 | ERROR | No database connection, cannot fetch quote
2025-11-03 15:21:16,060 | WARNING | Skipping user fetch
2025-11-03 15:21:16,060 | WARNING | No quotes or users found
2025-11-03 15:21:16,061 | INFO | Email sent successfully
2025-11-03 16:38:16,629 | INFO | Email Configuration loaded sucessfully
2025-11-03 16:38:16,650 | INFO | Connected to SQLite database
2025-11-03 15:43:33,764 | INFO | Email Configuration loaded sucessfully
2025-11-03 15:43:33,764 | INFO | Connected to SQLite database
2025-11-03 15:43:33,765 | INFO | Found today's quote
2025-11-03 15:43:33,765 | WARNING | No active daily users found
2025-11-03 15:43:33,766 | WARNING | No quotes or users found
2025-11-03 15:43:33,766 | INFO | Database connection closed
2025-11-03 15:43:33,766 | INFO | Email sent successfully
2025-11-04 02:45:47,146 | INFO | Email Configuration loaded sucessfully
2025-11-04 02:45:47,153 | INFO | Connected to SQLite database
2025-11-04 02:45:47,169 | WARNING | No quote found!
2025-11-04 02:45:47,170 | WARNING | No active daily users found
2025-11-04 02:45:47,170 | WARNING | No quotes or users found
2025-11-04 02:45:47,170 | INFO | Database connection closed
2025-11-04 02:45:47,171 | INFO | Email sent successfully
2025-11-04 02:57:35,126 | INFO | Email Configuration loaded sucessfully
2025-11-04 02:57:35,127 | INFO | Connected to SQLite database
2025-11-04 02:57:35,127 | WARNING | No quote found!
2025-11-04 02:57:35,127 | WARNING | No active daily users found
2025-11-04 02:57:35,127 | WARNING | No quotes or users found
2025-11-04 02:57:35,127 | INFO | Database connection closed
2025-11-04 02:57:35,127 | INFO | Email sent successfully
2025-11-04 03:11:23,944 | INFO | Email Configuration loaded sucessfully
2025-11-04 03:11:23,944 | INFO | Connected to SQLite database
2025-11-04 03:11:23,945 | INFO | Found today's quote
2025-11-04 03:11:23,945 | INFO | Active users found
2025-11-04 03:13:33,313 | ERROR | SMTP connection error
